,UID No,nvPMDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Superseded,Superseded by UID No,Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),Fuel Naphthalene Content (% vol),Fuel Sulphur Content (ppm by mass),nvPM Mass Concentration Max (mg/m³),nvPM Mass Concentration Characteristic (mg/m³),nvPM Mass Concentration Characteristic (% of CAEP/10 Limit),nvPM Mass Concentration Number Test,nvPM Mass Concentration Number Eng,nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPMmass Number Test,nvPMmass Number Eng,LTOmass/Foo Avg (mg/kN),LTOmass/Foo Characteristic (mg/kN),LTOmass/Foo Characteristic (% of CAEP/11 InP Limit),LTOmass/Foo Characteristic (% of CAEP/11 NT Limit),nvPM LTO Total Mass (mg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM Einum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPMnum Number Test,nvPMnum Number Eng,LTOnum/Foo Avg (#/kN),LTOnum/Foo Characteristic (#/kN),LTOnum/Foo Characteristic (% of CAEP/11 InP Limit),LTOnum/Foo Characteristic (% of CAEP/11 NT Limit),nvPM LTO Total Particle Number (#),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
180,01P11CM125,1,CFM International,CFM56-7B27E/F,Tech Insertion,TF,5.1,29.0,121.4,,,1.293,1.031,0.343,0.11,445.0,43.27,13.83,18.7,0.67,519.0,1788.0,2301.0,38.3,3,1,70.8,44.0,1.72,0.74,70.8,3,1,83.2,116.0,5.7,28.199999999999996,10104.0,402000000000000.0,433000000000000.0,71000000000000.0,26600000000000.0,433000000000000.0,3,1,751000000000000.0,1040000000000000.0,8.0,20.5,9.12e+16,82.1,53.2,2.65,1.07,1010000000000000.0,1300000000000000.0,398000000000000.0,134000000000000.02,99.5,100.2,295.5,311.8,0.00658,0.01217,Safran Aircraft Engines,"Villaroche, France",2019-07-25,2019-07-30,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
181,01P11CM126,1,CFM International,CFM56-7B27E/B1F,Tech Insertion,TF,5.1,29.0,121.4,,,1.293,1.031,0.343,0.11,445.0,43.27,13.83,18.7,0.67,519.0,1788.0,2301.0,38.3,3,1,70.8,44.0,1.72,0.74,70.8,3,1,83.2,116.0,5.7,28.199999999999996,10104.0,402000000000000.0,433000000000000.0,71000000000000.0,26600000000000.0,433000000000000.0,3,1,751000000000000.0,1040000000000000.0,8.0,20.5,9.12e+16,82.1,53.2,2.65,1.07,1010000000000000.0,1300000000000000.0,398000000000000.0,134000000000000.02,99.5,100.2,295.5,311.8,0.00658,0.01217,Safran Aircraft Engines,"Villaroche, France",2019-07-25,2019-07-30,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
182,01P20CM127,1,CFM International,LEAP-1A24/24E1/23,TAPS II,TF,11.1,29.98572,106.801384747566,,,0.7447205814958054,0.6160699434516944,0.21915595851291664,0.08694056421863888,300.82420718262415,43.26,13.69,16.5,0.66,150.0,160.0,205.9436,3.21599946305021,3,1,1.1440632638363273,0.8660504799855792,1.2306043926158603,0.6349582450423698,7.657522618656775,3,1,2.4068685496519913,3.345647818273417,0.14230800295921053,0.6525862084893311,257.0568940081978,79049389725.44856,68534626030.94439,42461298234559.44,3688666558080.0806,220189394149276.72,3,1,25670873375410.336,35683586257352.086,0.2433387001737657,0.5690755368313398,2741684824173240.0,1.3545815022170156,1.0359871812031658,1.850033576293248,0.7880674309419434,107147000375.79523,92348579066.55771,276096126031350.3,13005424535946.305,97.8,98.8,274.6,279.8,0.002,0.0032,CFM International,"PTO, Ohio",2016-11-21,2016-12-02,Certification Report CRL-2201_2/Rev. 4,Engine S/N 600-104,,,,,,
183,01P20CM128,1,CFM International,LEAP-1A26/26E1,TAPS II,TF,10.8,33.27215,120.635773923185,,,0.8609402542172222,0.7099265544168055,0.24373079062777778,0.09110055150613888,330.482045960385,43.26,13.69,16.5,0.66,150.0,160.0,205.9436,3.418110699554141,3,1,1.3575633638407971,1.082435584183324,1.97357626680533,0.5741789730332473,7.6032226454136,3,1,2.8811502863998912,4.004935065888088,0.19502089841505352,0.960360213714757,347.5697945888564,89128532967.8918,76682057125.48235,68930572878845.75,3710158486647.142,218758817340458.34,3,1,37881014847622.99,52656400955828.45,0.40176061559305304,1.021932613105562,4569805543138653.0,1.6270256714414093,1.2351754106584396,2.988555873974086,0.6838605897803753,119654243894.60803,100052658632.40553,456827575055365.44,10901015768971.475,97.8,98.8,274.6,279.8,0.002,0.0032,CFM International,"PTO, Ohio",2016-11-21,2016-12-02,Certification Report CRL-2201_2/Rev. 4,Engine S/N 600-104,,,,,,
184,01P20CM129,1,CFM International,LEAP-1A26CJ,TAPS II,TF,10.8,33.27215,120.635773923185,,,0.8609402542172222,0.7099265544168055,0.24373079062777778,0.09110055150613888,330.482045960385,43.26,13.69,16.5,0.66,150.0,160.0,205.9436,3.418110699554141,3,1,1.3575633638407971,1.082435584183324,1.97357626680533,0.5741789730332473,7.6032226454136,3,1,2.8811502863998912,4.004935065888088,0.19502089841505352,0.960360213714757,347.5697945888564,89128532967.8918,76682057125.48235,68930572878845.75,3710158486647.142,218758817340458.34,3,1,37881014847622.99,52656400955828.45,0.40176061559305304,1.021932613105562,4569805543138653.0,1.6270256714414093,1.2351754106584396,2.988555873974086,0.6838605897803753,119654243894.60803,100052658632.40553,456827575055365.44,10901015768971.475,97.8,98.8,274.6,279.8,0.002,0.0032,CFM International,"PTO, Ohio",2016-11-21,2016-12-02,Certification Report CRL-2201_2/Rev. 4,Engine S/N 600-104,,,,,,
185,01P20CM130,1,CFM International,LEAP-1A29,TAPS II,TF,10.7,35.5023,130.288385771133,,,0.9458664353256389,0.7772851923052777,0.2611294244915555,0.09436801605049999,352.21320258472684,43.26,13.69,16.5,0.66,150.0,160.0,205.9436,3.548657195165503,3,1,1.8210498223902283,1.1575530518321864,2.93741798536845,0.5824521886353127,7.5723381596666215,3,1,3.537896820042909,4.917843786548386,0.2663923354354601,1.403950592278774,460.946865708215,116697242305.93987,78699075840.68866,98454418611781.95,6373076393434.013,217944757656746.0,3,1,54656907991442.6,75975685281404.8,0.6321020824173,1.7375011449565787,7121160313446392.0,2.1894663280845754,1.370354629174604,4.424721232268499,0.6873315773466918,156349056060.6419,106573393885.39598,644062645541261.0,17893237815205.438,97.8,98.8,274.6,279.8,0.002,0.0032,CFM International,"PTO, Ohio",2016-11-21,2016-12-02,Certification Report CRL-2201_2/Rev. 4,Engine S/N 600-104,,,,,,
186,01P20CM131,1,CFM International,LEAP-1A29CJ,TAPS II,TF,10.7,35.5023,130.288385771133,,,0.9458664353256389,0.7772851923052777,0.2611294244915555,0.09436801605049999,352.21320258472684,43.26,13.69,16.5,0.66,150.0,160.0,205.9436,3.548657195165503,3,1,1.8210498223902283,1.1575530518321864,2.93741798536845,0.5824521886353127,7.5723381596666215,3,1,3.537896820042909,4.917843786548386,0.2663923354354601,1.403950592278774,460.946865708215,116697242305.93987,78699075840.68866,98454418611781.95,6373076393434.013,217944757656746.0,3,1,54656907991442.6,75975685281404.8,0.6321020824173,1.7375011449565787,7121160313446392.0,2.1894663280845754,1.370354629174604,4.424721232268499,0.6873315773466918,156349056060.6419,106573393885.39598,644062645541261.0,17893237815205.438,97.8,98.8,274.6,279.8,0.002,0.0032,CFM International,"PTO, Ohio",2016-11-21,2016-12-02,Certification Report CRL-2201_2/Rev. 4,Engine S/N 600-104,,,,,,
187,01P20CM132,1,CFM International,LEAP-1A35A/33/33B2/32/30,TAPS II,TF,10.45,38.51118,143.054828816784,,,1.0616544566833888,0.8693121686271389,0.2838537039043333,0.09808810041624999,380.4810190258747,43.26,13.69,16.5,0.66,150.0,160.0,205.9436,3.7100163459205437,3,1,2.975456390678904,1.3635949774945892,4.81087117681687,0.62181081349875,7.538040134782858,3,1,4.977346680134046,6.918747122788498,0.44022177993515776,2.6405525573573585,712.033477288364,182264086424.00418,89438008910.58362,150444133193931.88,11523783047847.719,217040395993263.25,3,1,84098661399510.9,116901113983195.58,1.104713888840286,3.4988078988813274,1.2030719610227712e+16,3.5855040849952142,1.6350457064336745,7.066721193521315,0.7694335109212727,243710949325.20853,120035704274.33386,922268968907276.5,45856960227215.08,97.8,98.8,274.6,279.8,0.002,0.0032,CFM International,"PTO, Ohio",2016-11-21,2016-12-02,Certification Report CRL-2201_2/Rev. 4,Engine S/N 600-104,,,,,,
188,01P20CM133,1,CFM International,LEAP-1B21,TAPS II,TF,8.5203,36.818,111.267825108,,,0.876656496105653,0.7219687141850599,0.24538116420164124,0.0890591878267759,329.94325552702963,43.27,13.84,14.8,1.97,840.0,66.0,85.0,1.3551539534813568,3,1,0.014330994305610476,0.009869477269937843,1.9904281508029154,0.22590231822749243,3.762691603457236,3,1,1.348751226215028,1.8748279485891413,0.0831418299518821,0.38913455703521954,150.0726155526943,25857377174.87769,29468736162.404083,76649387034303.17,24766586241394.082,117010723525164.25,3,1,71526839155811.3,99425686899932.31,0.7020971792681283,1.6824550630018686,7958635829716858.0,0.01577406247524486,0.009869477269937843,3.1366268537412307,0.5129177965870435,40966407454.89781,29468736162.404083,559890584256458.7,472999508086754.56,98.02,98.16,290.6,296.5,0.0048,0.0079,CFM International,"PTO, Ohio",2016-03-08,2016-03-09,Certification Report CRL-2201b/Rev. 5,Engine S/N 602-109/1,,,,,,
189,01P20CM134,1,CFM International,LEAP-1B23,TAPS II,TF,8.4621,37.924,115.240087354,,,0.9161946780447929,0.7521074430564502,0.2534828375562833,0.09069968218256813,340.085744179647,43.27,13.84,14.8,1.97,840.0,66.0,85.0,1.3791649764932223,3,1,0.017136913170915744,0.01194380970579041,2.338347660240649,0.21263708846745968,3.7646295394036344,3,1,1.511513716152891,2.1010755020195875,0.09684232806308372,0.4624557778214556,174.18697268622833,26129629858.806202,28099642462.715637,88922307121812.52,23004439086709.99,117065909295705.8,3,1,75220306913236.3,104559781641974.28,0.7624328395742336,1.870947357503703,8668394739476040.0,0.018948706334068477,0.01194380970579041,3.623647604095504,0.48279870586749335,40011969171.18122,28099642462.715637,624042423913134.8,439345506180927.56,98.02,98.16,290.6,296.5,0.0048,0.0079,CFM International,"PTO, Ohio",2016-03-08,2016-03-09,Certification Report CRL-2201b/Rev. 5,Engine S/N 602-109/1,,,,,,
190,01P20CM135,1,CFM International,LEAP-1B25,TAPS II,TF,8.3551,40.135,119.150074492,,,0.9598277959718934,0.7844889368689388,0.2601355335613394,0.09054344462487363,347.5456087670438,43.27,13.84,14.8,1.97,840.0,66.0,85.0,1.402180583089354,3,1,0.026280258701728964,0.012745167947246769,2.7040513465054743,0.20464673110421486,3.7664117829285053,3,1,1.6794440290345272,2.3345065735814945,0.11193824225125826,0.5463436283897888,200.10588116460852,27125828561.83089,26833798775.99706,100105527836655.81,21719511988829.54,117116659361879.02,3,1,78233657448305.78,108748481301509.3,0.819277730347282,2.062492042793197,9321546112747244.0,0.02906916965632626,0.014013983717210491,4.121599970297346,0.4646563666991202,41247182550.08332,43093409082.53097,674621521560229.4,414805591994678.44,98.02,98.16,290.6,296.5,0.0048,0.0079,CFM International,"PTO, Ohio",2016-03-08,2016-03-09,Certification Report CRL-2201b/Rev. 5,Engine S/N 602-109/1,,,,,,
191,01P20CM136,1,CFM International,LEAP-1B27,TAPS II,TF,8.3489,40.491,124.714800214,,,1.0135407563308971,0.8259926880823,0.27310073088937475,0.09460184118401863,364.7227942532803,43.27,13.84,14.8,1.97,840.0,66.0,85.0,1.4339403933384398,3,1,0.035428315497856626,0.01321337108839467,3.2365619229746385,0.19841863529193274,3.7687568722260214,3,1,1.9594225039843762,2.723689885994406,0.1385462971983286,0.7004981167198752,244.3689861192271,27971199359.273426,26241112757.590565,111484442280863.77,20005878082699.137,117183433586544.64,3,1,82296989150248.0,114396704406794.56,0.9045281711423532,2.3718776155041605,1.0263652560086904e+16,0.03904771816857162,0.014535018243795989,4.832490299511516,0.4187287888190145,45131667676.45147,41535514742.50258,713199285396326.6,305219636454297.7,98.02,98.16,290.6,296.5,0.0048,0.0079,CFM International,"PTO, Ohio",2016-03-08,2016-03-09,Certification Report CRL-2201b/Rev. 5,Engine S/N 602-109/1,,,,,,
192,01P20CM137,1,CFM International,LEAP-1B28B2C,TAPS II,TF,8.3489,40.491,124.714800214,,,1.0135407563308971,0.8259926880823,0.27310073088937475,0.09460184118401863,364.7227942532803,43.27,13.84,14.8,1.97,840.0,66.0,85.0,1.4339403933384398,3,1,0.035428315497856626,0.01321337108839467,3.2365619229746385,0.19841863529193274,3.7687568722260214,3,1,1.9594225039843762,2.723689885994406,0.1385462971983286,0.7004981167198752,244.3689861192271,27971199359.273426,26241112757.590565,111484442280863.77,20005878082699.137,117183433586544.64,3,1,82296989150248.0,114396704406794.56,0.9045281711423532,2.3718776155041605,1.0263652560086904e+16,0.03904771816857162,0.014535018243795989,4.832490299511516,0.4187287888190145,45131667676.45147,41535514742.50258,713199285396326.6,305219636454297.7,98.02,98.16,290.6,296.5,0.0048,0.0079,CFM International,"PTO, Ohio",2016-03-08,2016-03-09,Certification Report CRL-2201b/Rev. 5,Engine S/N 602-109/1,,,,,,
193,01P20CM138,1,CFM International,LEAP-1B28BBJ1,TAPS II,TF,8.2938,41.991,130.408524374,,,1.074725399892549,0.8725615601176924,0.28517134220157875,0.09691012510092442,379.9375100168435,43.27,13.84,14.8,1.97,840.0,66.0,85.0,1.4653032359799745,3,1,0.05568316465979534,0.014250848579184842,3.809285913384079,0.2020276025441428,3.809,3,1,2.265259377161605,3.1488175940528285,0.17080575060367256,0.9010640645657627,295.4091327000112,29437187010.84337,26005170965.55714,118319658297562.0,19116915068214.527,117245891819796.62,3,1,84291617567929.94,117169332176716.61,0.9759231272636778,2.685527565479866,1.0992345464131278e+16,0.06142924097656645,0.015692472713342277,5.555439587117644,0.42165028118698483,47977837018.19061,41652139616.42446,711814895031311.5,280882969465448.97,98.02,98.16,290.6,296.5,0.0048,0.0079,CFM International,"PTO, Ohio",2016-03-08,2016-03-09,Certification Report CRL-2201b/Rev. 5,Engine S/N 602-109/1,,,,,,
194,01P20CM139,1,CFM International,LEAP-1B28BBJ2,TAPS II,TF,8.3489,40.491,124.714800214,,,1.0135407563308971,0.8259926880823,0.27310073088937475,0.09460184118401863,364.7227942532803,43.27,13.84,14.8,1.97,840.0,66.0,85.0,1.4339403933384398,3,1,0.035428315497856626,0.01321337108839467,3.2365619229746385,0.19841863529193274,3.7687568722260214,3,1,1.9594225039843762,2.723689885994406,0.1385462971983286,0.7004981167198752,244.3689861192271,27971199359.273426,26241112757.590565,111484442280863.77,20005878082699.137,117183433586544.64,3,1,82296989150248.0,114396704406794.56,0.9045281711423532,2.3718776155041605,1.0263652560086904e+16,0.03904771816857162,0.014535018243795989,4.832490299511516,0.4187287888190145,45131667676.45147,41535514742.50258,713199285396326.6,305219636454297.7,98.02,98.16,290.6,296.5,0.0048,0.0079,CFM International,"PTO, Ohio",2016-03-08,2016-03-09,Certification Report CRL-2201b/Rev. 5,Engine S/N 602-109/1,,,,,,
